Player,Nation,Pos,League,Squad,Annualized Salary,cost
K. Adong,Dosqaly,FWMF,B,Glistening Paladins,25969200,28566120
F. Akongo,Nganion,MFFW,E,Punctual Leopards,1815600,1997160
A. Perez,Rarita,FW,RFL,Golden Cadets,7813200,7813200
V. Zhao,Rarita,MF,RFL,Mad Cardinals,4794000,4794000
H. Jew,Landsfupua,GK,B,Glistening Paladins,18931200,20824320
L. De Wit,Greri Landmoslands,FW,D,Fighting Wave,30540000,33594000
L. Ndyanabo,Imaar Vircoand,FWMF,E,Festive Governors,36590000,40249000
D. Tukamuhebwa,People's Land of Maneau,FW,A,Swift Musketeers,22990000,25289000
H. Makumbi,Rarita,FW,RFL,Red Anchormen,7430000,7430000
F. Acayo,Rarita,DF,RFL,Strong Oaks,7060000,7060000
H. Azizi,Rarita,DF,RFL,Strong Oaks,5870000,5870000
K. Musah,Rarita,DF,RFL,Serious Buffaloes,5180000,5180000
P. Murmu,Rarita,DF,RFL,Strong Oaks,5570000,5570000
R. Mensah,Rarita,DF,RFL,Strong Oaks,5300000,5300000
W. Mbaziira,Rarita,DF,RFL,Strong Oaks,4.00E+06,4.00E+06
X. Takagi,Rarita,DF,RFL,Strong Oaks,4810000,4810000
Z. Kakai,Rarita,MFDF,RFL,Serious Buffaloes,6910000,6910000
N. Bondarenko,People's Land of Maneau,FWMF,A,Horrible Storm,30860000,33946000
U. Angella,People's Land of Maneau,MF,RFL,Mad Wolverines,6170000,6787000
M. Ludwig,Rarita,DFMF,A,Great Galactic Gorgons,11910000,11910000
O. Tshuma,Rarita,DFMF,B,Grotesque Rocks,28050000,28050000
V. Sultan,Rarita,DFMF,RFL,Red Anchormen,5080000,5080000
B. Ayuba,Rarita,MF,E,Deferred Dolphins,21950000,21950000
F. Akumu,Rarita,GK,RFL,Red Anchormen,5600000,5600000
W. Nasiru,Rarita,GK,A,Stacked Rocks,22410000,22410000